,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,37.9,29,32.9,18.6,27,12.7,10.6,18.2,12.1,109.5,91.5,76,82.5,103.5,64.8,29.5,25.2,39.2,37,21.8,15.8,22,72,163,0
1,38.83296267,25.39456165,29.46012215,19.84814106,31.0524763,11.49260104,11.10062104,18.44785492,14.09628325,92.30262587,85.59547074,78.985577,80.11959778,92.08132354,58.2238974,31.18038631,24.88085232,33.56930116,34.41846574,22.12278381,14.93333705,31,77.39776787,187.2530581,1
2,38.7,33.3,33.8,20.9,30.2,14,10.5,18.9,14.8,108.9,98.9,83.6,108.6,108.3,63,31.9,26,38.1,36.4,24.5,16,29,81.8,182.9,0
3,41.52846602,29.10309746,33.02205302,20.7903424,24.56640013,14.70002936,9.960396154,17.72990176,13.96310916,106.0985291,90.58614089,42.91011105,76.1074119,93.39655159,50.24881307,24.19670124,22.44941173,37.05529396,31.560105,19.51075581,17.08999212,46,64.86623947,175.7888259,0
4,38.04600145,27.24496766,34.30420476,24.53237404,28.23964905,12.61791295,10.2768795,22.48784551,14.47308146,113.9963191,107.2638853,63.24052398,83.01008707,105.182708,54.50915294,35.95412104,26.21084708,38.90980804,33.73171524,24.19044953,15.79883694,14,88.13475592,167.2227404,1
5,41.3,29,32.2,25.2,30.8,14.4,11,19.7,15.8,115.3,105.7,96.5,98.2,97.4,54.3,31.9,28.5,37.7,39.3,24.5,17.1,43,86.4,,1
6,40.48918947,25.7207686,32.57125309,18.10936828,26.80007813,14.19147585,10.91439909,18.73972568,14.89979989,113.6502391,94.78287752,66.05579733,99.50899603,97.637265,53.35881465,31.84777825,27.99138931,39.24073707,37.31539335,20.04004482,15.76827152,30,73.62206897,200.4412464,0
7,42.1,28.5,31.7,19.4,28,14,11.3,19,14.4,115,98.6,76.7,85.8,93.3,56,35.7,27.6,34.7,34.6,20.6,16,26,71.8,177.8,1
8,36.604291,26.72551101,35.06077811,21.88891634,30.06913627,12.21442603,10.54489164,18.53386624,15.60398873,112.3488717,84.0660497,68.82059411,93.31719651,96.03941493,59.88369172,37.1288317,21.097204,35.3482678,30.22426483,20.48498157,18.08845159,28,77.72219523,176.2247593,1
9,36.1,26.8,31,16.2,24,11,8.9,17.8,12.2,95.7,80.8,64.8,79.8,92,57.4,26.5,22.6,31,35.2,20.4,14.4,25,53.6,161,0
10,39.29094098,30.85946034,33.94902792,16.51359757,25.10819847,11.45044716,8.206949558,20.20962801,12.4945788,109.7387603,75.66604534,91.35014883,79.46624494,93.73614053,56.78655861,36.78634431,25.43518002,33.66109504,37.00283629,22.76268179,15.07388403,49,58.05721119,161.0518967,0
11,36.6,27.9,31.8,19.3,24.9,12.3,9.5,18.6,13,97,86.5,78,91,99.5,61.5,28,24,35.2,36.7,23,15,25,63,157,0
12,36.28612021,27.81625396,39.20804551,14.44429315,29.3992045,11.11229927,12.47102694,19.10764515,15.65746178,124.7525045,79.23902969,70.59696083,83.2511814,96.17178831,58.81623028,31.72926025,26.0783474,42.95954237,31.01144495,24.36378909,16.63884637,37,67.67969295,167.4854053,0
13,36.12139516,25.93960782,30.6799412,19.25509416,24.99025307,14.3129907,9.381255114,16.63179324,14.4087767,113.3354621,106.4511347,74.05944023,66.48758604,95.07782105,52.07294041,22.9343686,26.77049697,39.65276508,42.12606229,23.17360404,16.23844496,38,66.34139201,169.9497155,0
14,38.2859047,29.04165364,34.28264064,22.03135021,,12.63145101,10.91680962,18.4205854,14.81341066,96.65366625,89.62421022,78.89438313,113.6982981,86.69930838,56.93198735,33.90354243,23.15984732,30.4129502,34.89316014,22.04209982,15.32043129,11,62.08053843,177.9323043,0
15,37.8,28,32,16.8,28.3,12.7,9.8,18.1,13.2,105.6,91,75.5,90.7,98.6,62.7,31.5,24.8,,35.4,20.3,14.6,24,69.5,172.7,0
16,40.75425283,28.7062273,35.0096041,20.16347263,27.45320965,12.29343701,8.699543172,16.11172726,14.68669877,104.9395774,80.23410169,88.50688743,97.29736067,106.5421825,54.24419838,36.25935523,27.33609942,36.41037864,38.56452481,21.74117091,17.56890754,38,66.70691962,178.5096136,0
17,38.2,27.5,30,20.4,29.2,11.8,9.2,17.8,11.5,112.1,98.1,90.1,90.1,95.2,53.8,32.1,25.8,34.7,37.2,21.5,15.8,32,67.2,156.5,0
18,37.95575641,25.14575551,30.73568636,14.48133811,28.81636246,13.41339717,11.39082724,19.15348075,12.30358506,109.1673764,96.2588165,77.93459628,,95.61378471,53.95541361,31.01040451,27.88338989,38.72974313,36.79672171,23.6979501,17.21741676,35,59.33095467,160.02974,0
19,36.21134408,29.41055537,,20.90087873,25.28927097,12.80630373,9.820789946,18.33437736,13.48239238,109.3940449,90.80279752,84.30654971,92.65461099,94.57682948,57.54501957,24.55477684,24.47728893,35.38139588,36.02219263,20.36045416,17.18518129,27,42.51129037,181.2013253,0
20,40.41717391,24.31865376,29.03335127,21.5553593,26.77765634,14.5724971,10.00887908,18.22480892,15.09196961,111.0884987,105.6348835,82.38214437,80.64153684,91.51143305,54.96195775,27.61204398,28.46745366,35.97809025,41.52140144,21.42904838,17.50185991,27,56.7497608,177.8053575,0
21,44.82689364,28.88283272,30.96999138,17.11658739,29.94117186,13.39372058,10.78703,18.82234706,13.95288161,110.8120041,97.15437672,78.46274208,88.44129013,100.3546437,58.27863358,33.02176038,23.6066823,36.48387134,35.02877418,20.87333828,16.46090273,25,62.45561759,163.2557082,0
22,31.99320615,28.154508,31.47227403,19.6433335,26.07826394,14.01747978,11.32561874,20.45351172,14.78651731,111.6675919,83.12564288,61.85320658,74.01417185,94.73627097,56.10104993,31.54906645,28.15006417,33.55403198,33.58976046,21.8065731,16.43932833,33,60.13764257,154.8767637,0
23,43.4524478,23.28290126,31.61064382,17.94873744,25.5549314,15.31097057,9.952246074,18.3330443,15.33693334,113.5598575,104.5350302,76.72213461,93.35357869,103.3255558,60.87605028,24.9426665,22.87589712,34.61702479,38.01646545,24.41353932,14.14319367,35,90.3038883,158.1018812,1
24,41.1,27.8,31.4,19,31.5,14.5,11.9,18.5,13,114.8,97.2,75,77.2,91.3,49.5,31,26.1,36.3,35.1,21,17,22,67.2,182,1
25,41.28500866,27.46755087,30.04070055,18.65986053,26.98225118,14.94157191,10.26782014,21.66673532,14.3444316,110.1748039,97.56610922,78.94968605,90.57144364,104.197045,57.19174768,25.72943211,27.31087256,38.15910146,42.3779114,24.51074843,16.88297581,35,85.82979278,190.0937039,1
26,37.8,32,33.8,16.8,26.6,13.4,10.4,18.8,13.4,105,86.2,77.9,96,100.1,60.7,28.4,24.3,34.7,34.5,20.9,14.9,34,63.6,167.6,0
27,38.88830531,30.96951177,30.68629069,20.10761024,30.32327306,13.03973801,11.74140545,17.32029213,14.48103951,129.5416339,96.26654076,83.78127034,75.26960337,97.03436687,59.54075738,30.74660806,24.27164876,39.13958707,36.74764135,24.15726952,16.53281036,46,72.29976646,160.7643021,1
28,37.24735,24.16087023,37.06229516,20.77390044,32.84813318,14.51982331,11.19210012,16.36094921,13.94405302,84.97110918,103.1939703,83.03980361,89.88362716,89.06364036,60.51703783,28.42090127,24.77116604,31.98935746,36.26021864,21.48497983,17.65540966,33,74.35212333,,1
29,39.6,28.7,32.4,18.2,,15.2,11.8,19.6,14.8,119.4,98.5,85.7,92.9,98.6,55.5,35.3,28.7,39.3,35.9,23,17.4,29,83.6,188,1
30,31.18721608,25.03787442,34.62384159,21.1887789,29.48925611,11.9848094,,19.8345356,11.99488565,111.2449816,103.3038967,84.50296854,74.39764229,98.78540796,56.45863127,26.89573765,25.51167755,34.33138061,35.21542874,20.15534423,14.69702339,27,71.16189767,174.0925293,0
